AD ID,Placement ID,Date,Campaign,Audience,Excluded Audience,Audience Type,Creative,Post Type,Gender,Optimization Event,Media Spend,Impressions,Clicks,Likes,Comments,Shares,Video Views,Video Views to 25%,Video Views to 50%,Video Views to 75%,Video Views to 95%,Video Views to 100%,CPM,CTR,CPC
1000281165,2000200268,2/1/2019,Evergreen,Shopping Cart Page,Purchases,Website Custom Audience,Brand Logo + Generic CTA,Photo,F,Conversion,15.26,774,12,1,0,0,,,,,,,19.72,0.0153,1.27
1000141830,2000200714,2/1/2019,Evergreen,Product Page,"Purchasers, Shopping Cart",Website Custom Audience,Brand Logo + Generic CTA,Photo,F,Conversion,49.12,2935,37,3,1,1,,,,,,,16.74,0.0125,1.33
1000659879,2000200882,2/1/2019,Evergreen,Home Page,"Product Page, Shopping Cart, Purchasers",Website Custom Audience,Brand Logo + Generic CTA,Photo,F,Conversion,81.37,6183,65,5,3,2,,,,,,,13.16,0.0105,1.25
1000599036,2000201316,2/1/2019,Evergreen,Top Purchasers Lookalike 1%,All Site Visitors,Lookalike,Brand Logo + Generic CTA,Photo,F,Conversion,32.65,2739,24,3,1,1,,,,,,,11.92,0.0089,1.36
1000512589,2000202452,2/1/2019,Evergreen,Top Purchasers Lookalike 2%,All Site Visitors,Lookalike,Brand Logo + Generic CTA,Photo,F,Conversion,14.86,1375,12,1,1,0,,,,,,,10.81,0.0087,1.24
1000249490,2000202578,2/1/2019,Evergreen,Lapsed Purchasers,All Site Visitors,Custom Audience,Brand Logo + Generic CTA,Photo,F,Conversion,20.01,1734,16,2,1,1,,,,,,,11.54,0.0093,1.25
1000899431,2000202594,2/1/2019,Evergreen,Frequent In-Store Purchasers,All Site Visitors,Custom Audience,Brand Logo + Generic CTA,Photo,F,Conversion,12.04,1111,12,1,1,0,,,,,,,10.84,0.0107,1
1000490359,2000202790,2/1/2019,Evergreen,Interested In: Shopping and Fashion,All Site Visitors,Facebook Interest,Brand Logo + Generic CTA,Photo,F,Conversion,9.59,1768,18,2,1,1,,,,,,,5.43,0.0099,0.53
1000776904,2000202862,2/1/2019,Evergreen,Interested In: Shopping and Fashion,All Site Visitors,Facebook Interest,Brand Logo + Generic CTA,Photo,F,Conversion,11.55,1582,13,2,1,1,,,,,,,7.3,0.0081,0.89
1000466631,2000202950,2/1/2019,Evergreen,Interested In: High-End Retail,All Site Visitors,Facebook Interest,Brand Logo + Generic CTA,Photo,F,Conversion,11.09,1439,9,2,1,0,,,,,,,7.71,0.0063,1.23
1000194237,2000203382,2/1/2019,Evergreen,Interested In: Competitors,All Site Visitors,Facebook Interest,Brand Logo + Generic CTA,Photo,F,Conversion,12.21,1459,7,1,1,0,,,,,,,8.37,0.005,1.74
1000512205,2000204192,2/1/2019,Evergreen,Shopping Cart Page,Purchases,Website Custom Audience,Brand Logo + Save Now CTA,Photo,F,Conversion,20.09,869,15,1,0,0,,,,,,,23.11,0.0174,1.34
1000438912,2000204244,2/1/2019,Evergreen,Product Page,"Purchasers, Shopping Cart",Website Custom Audience,Brand Logo + Save Now CTA,Photo,F,Conversion,43.26,2562,40,2,1,1,,,,,,,16.88,0.0155,1.08
1000520029,2000204390,2/1/2019,Evergreen,Home Page,"Product Page, Shopping Cart, Purchasers",Website Custom Audience,Brand Logo + Save Now CTA,Photo,F,Conversion,69.8,4626,56,5,2,1,,,,,,,15.09,0.0121,1.25
1000821836,2000204450,2/1/2019,Evergreen,Top Purchasers Lookalike 1%,All Site Visitors,Lookalike,Brand Logo + Save Now CTA,Photo,F,Conversion,58.35,4300,41,5,3,1,,,,,,,13.57,0.0096,1.42
1000622702,2000205614,2/1/2019,Evergreen,Top Purchasers Lookalike 2%,All Site Visitors,Lookalike,Brand Logo + Save Now CTA,Photo,F,Conversion,16.32,1481,16,1,1,0,,,,,,,11.02,0.0106,1.02
1000920936,2000205838,2/1/2019,Evergreen,Lapsed Purchasers,All Site Visitors,Custom Audience,Brand Logo + Save Now CTA,Photo,F,Conversion,23.61,2122,23,2,1,1,,,,,,,11.13,0.0109,1.03
1000349276,2000206666,2/1/2019,Evergreen,Frequent In-Store Purchasers,All Site Visitors,Custom Audience,Brand Logo + Save Now CTA,Photo,F,Conversion,18.86,1620,19,2,1,0,,,,,,,11.64,0.0118,0.99
1000329726,2000206718,2/1/2019,Evergreen,Interested In: Shopping and Fashion,All Site Visitors,Facebook Interest,Brand Logo + Save Now CTA,Photo,F,Conversion,11.12,1978,19,2,1,1,,,,,,,5.62,0.0094,0.59
1000178289,2000207028,2/1/2019,Evergreen,Interested In: Shopping and Fashion,All Site Visitors,Facebook Interest,Brand Logo + Save Now CTA,Photo,F,Conversion,9.81,1623,17,2,1,0,,,,,,,6.05,0.0103,0.58
1000242475,2000207056,2/1/2019,Evergreen,Interested In: High-End Retail,All Site Visitors,Facebook Interest,Brand Logo + Save Now CTA,Photo,F,Conversion,9.51,1447,12,2,1,0,,,,,,,6.57,0.0085,0.79
1000580289,2000207074,2/1/2019,Evergreen,Interested In: Competitors,All Site Visitors,Facebook Interest,Brand Logo + Save Now CTA,Photo,F,Conversion,13.13,1437,6,2,1,0,,,,,,,9.13,0.0044,2.19
1000688749,2000207076,2/1/2019,Evergreen,Shopping Cart Page,Purchases,Website Custom Audience,Brand Logo + Generic CTA,Video,F,Conversion,28.91,1484,19,2,1,0,313,131,63,39,34,32,19.48,0.0128,1.52
1000500780,2000207820,2/1/2019,Evergreen,Product Page,"Purchasers, Shopping Cart",Website Custom Audience,Brand Logo + Generic CTA,Video,F,Conversion,59.11,3559,34,3,2,1,601,336,196,130,105,90,16.61,0.0096,1.74
1000813554,2000207994,2/1/2019,Evergreen,Home Page,"Product Page, Shopping Cart, Purchasers",Website Custom Audience,Brand Logo + Generic CTA,Video,F,Conversion,84.55,6282,46,5,3,2,1842,761,376,275,201,172,13.46,0.0073,1.84
1000854086,2000208096,2/1/2019,Evergreen,Top Purchasers Lookalike 1%,All Site Visitors,Lookalike,Brand Logo + Generic CTA,Video,F,Conversion,83.5,6918,45,7,3,2,1819,860,441,287,251,224,12.07,0.0065,1.86
1000895261,2000208230,2/1/2019,Evergreen,Top Purchasers Lookalike 2%,All Site Visitors,Lookalike,Brand Logo + Generic CTA,Video,F,Conversion,22.17,2240,16,2,1,1,471,253,101,65,55,50,9.9,0.0071,1.39
1000412996,2000208338,2/1/2019,Evergreen,Lapsed Purchasers,All Site Visitors,Custom Audience,Brand Logo + Generic CTA,Video,F,Conversion,30.36,2875,19,3,1,1,792,397,222,148,106,95,10.56,0.0067,1.6
1000982682,2000208532,2/1/2019,Evergreen,Frequent In-Store Purchasers,All Site Visitors,Custom Audience,Brand Logo + Generic CTA,Video,F,Conversion,21.55,2234,19,2,1,1,663,296,143,93,82,77,9.65,0.0084,1.13
1000522853,2000208604,2/1/2019,Evergreen,Interested In: Shopping and Fashion,All Site Visitors,Facebook Interest,Brand Logo + Generic CTA,Video,F,Conversion,16.2,2568,18,2,1,1,667,370,199,119,87,74,6.31,0.007,0.9
1000818080,2000209078,2/1/2019,Evergreen,Interested In: Shopping and Fashion,All Site Visitors,Facebook Interest,Brand Logo + Generic CTA,Video,F,Conversion,14.92,2443,17,2,1,1,705,341,199,140,124,118,6.11,0.0068,0.88
1000627880,2000209126,2/1/2019,Evergreen,Interested In: High-End Retail,All Site Visitors,Facebook Interest,Brand Logo + Generic CTA,Video,F,Conversion,17.79,2618,13,3,1,1,620,363,153,96,70,63,6.8,0.005,1.37
1000202340,2000209604,2/1/2019,Evergreen,Interested In: Competitors,All Site Visitors,Facebook Interest,Brand Logo + Generic CTA,Video,F,Conversion,16.36,2005,9,2,1,1,399,233,109,72,52,44,8.16,0.0042,1.82
