,Name,GACC,State,"Start 
Date","Contain 
or 
Control 
Date",Size,Cause,Costs
0,Mooseheart,AK,AK,6/7/2018,7/5/2018,"53,643",L,"10,000"
1,Taylor Creek,NW,OR,7/15/2018,10/11/2018,"52,839",L,"24,077,000"
2,Perry,GB,NV,7/27/2018,8/6/2018,"51,400",U,"4,950,000"
3,Badger Hole,RM,CO,4/17/2018,4/22/2018,"50,671",H,"131,444"
4,Buzzard,SW,NM,5/22/2018,7/12/2018,"50,296",U,"15,100,000"
5,RIVER,NO,CA,7/27/2018,7/30/2018,"48,920",U,NR
6,HIRZ,NO,CA,8/9/2018,9/14/2018,"46,150",H,"55,511,216"
7,"Jennies Peak 
1039 RN",NW,OR,8/17/2018,9/20/2018,"45,956",L,"1,400,000"
8,"Dulby Hot 
Springs",AK,AK,6/6/2018,9/1/2018,"44,364",L,"40,000"
9,206,SW,NM,4/12/2018,4/14/2018,"44,162",U,"96,000"
10,MM 117,RM,CO,4/17/2018,4/20/2018,"42,795",H,"775,000"
11,Cougar Creek,NW,WA,7/28/2018,11/8/2018,"42,712",L,"42,165,000"
12,Terek,RM,WY,7/8/2018,7/13/2018,"42,267",L,"890,000"
0,"Mendocino 
Complex",NO,CA,7/27/2018,9/18/2018,"459,123",U,"220,000,000"
1,Martin,GB,NV,7/5/2018,7/21/2018,"435,569",U,"10,000,000"
2,Rhea,SA,OK,4/12/2018,4/26/2018,"286,196",U,"3,800,000"
3,South Sugarloaf,GB,NV,8/17/2018,10/10/2018,"233,458",L,"20,000,000"
4,Carr,NO,CA,7/23/2018,8/30/2018,"229,651",U,"162,289,294"
5,Klondike,NW,OR,7/15/2018,11/28/2018,"175,258",L,"104,500,000"
6,Camp,NO,CA,11/8/2018,11/25/2018,"153,336",U,"120,000,000"
7,Goose Creek,GB,NV,7/26/2018,8/10/2018,"132,220",U,"7,850,000"
8,Spring Creek,RM,CO,6/27/2018,9/6/2018,"108,045",H,"35,000,000"
9,Pole Creek,GB,UT,9/6/2018,10/8/2018,"102,191",L,"29,100,000"
10,Boxcar,NW,OR,6/21/2018,7/3/2018,"100,207",U,"3,500,000"
11,Grassy Ridge,GB,ID,7/26/2018,8/15/2018,"99,502",L,"3,000,000"
12,Woolsey,SO,CA,11/8/2018,11/27/2018,"96,949",U,"56,943,320"
